drug_key	atc	numerator_value	numerator_unit	denominator_value	denominator_unit	actual_unit	route	route_long	hospital_name	n	drug_names
A01AB09_OM_1.0_ml_ml	A01AB09	1	ml	NA	NA	ml	OM	oral mucosa	Vejle_extract	6	Brentan
A01AB09_OR_2.5_ml_ml	A01AB09	2.5	ml	NA	NA	ml	OR	oral	Vejle_extract	6	Brentan
A01AB09_OR_0.5_spoons_spoons	A01AB09	0.5	spoons	NA	NA	spoons	OR	oral	Vejle_extract	7	Brentan
A01AB09_OR_1.0_ml_ml	A01AB09	1	ml	NA	NA	ml	OR	oral	Vejle_extract	10	Brentan
A01AB09_LO_1_applic._applic.	A01AB09	1	applic.	NA	NA	applic.	LO	local	Kolding_extract, Vejle_extract	11	Brentan
A01AB09_OM_1.0_applic._applic.	A01AB09	1	applic.	NA	NA	applic.	OM	oral mucosa	herlev	20	Brentan
A01AB09_OR_62.5_mg_mg	A01AB09	62.5	mg	NA	NA	mg	OR	oral	bispebjerg, Esbjerg, herlev, Vejle_extract	32	Brentan
A01AB09_OR_1_applic._applic.	A01AB09	1	applic.	NA	NA	applic.	OR	oral	bispebjerg, Esbjerg, Vejle_extract	35	Brentan
A01AB09_OM_1_applic._applic.	A01AB09	1	applic.	NA	NA	applic.	OM	oral mucosa	bispebjerg, Esbjerg, Kolding_extract	52	Brentan
A01AB09_OR_1.0_applic._applic.	A01AB09	1	applic.	NA	NA	applic.	OR	oral	herlev, Kolding_extract	98	Brentan
A02AA04_GA_1500.0_mg_mg	A02AA04	1500	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	14	Magnesia """"DAK"""", Magnesia """"medic""""
A02AA04_GA_1000_mg_mg	A02AA04	1000	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Soenderborg_extract	46	Magnesia """"DAK"""", Magnesia """"medic""""
A02AA04_GA_1000.0_mg_mg	A02AA04	1000	mg	NA	NA	mg	GA	gastrointestinal = peroral	herlev, Rigshospital_almen	52	Magnesia """"DAK"""", Magnesia """"medic"""", Magnesia DAK
A02AA04_GA_1_g_g	A02AA04	1	g	NA	NA	g	GA	gastrointestinal = peroral	Kolding_extract, Soenderborg_extract	55	Magnesia """"DAK"""", Magnesia """"medic""""
A02AA04_GA_500_mg_mg	A02AA04	500	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Odense_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	73	Magnesia """"DAK"""", Magnesia """"medic""""
A02AA04_GA_1.5_g_g	A02AA04	1.5	g	NA	NA	g	GA	gastrointestinal = peroral	bispebjerg, hvidovre, Rigshospital_almen	83	Magnesia """"DAK"""", Magnesia """"medic"""", Magnesia DAK
A02AA04_GA_500.0_mg_mg	A02AA04	500	mg	NA	NA	mg	GA	gastrointestinal = peroral	herlev, Rigshospital_almen	109	Magnesia """"DAK"""", Magnesia """"medic"""", Magnesia DAK
A02AA04_GA_0.5_g_g	A02AA04	0.5	g	NA	NA	g	GA	gastrointestinal = peroral	Esbjerg, Odense_extract, Svendborg_extract, Vejle_extract	235	Magnesia """"DAK""""
A02AA04_GA_1.0_g_g	A02AA04	1	g	NA	NA	g	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, hvidovre, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract, Vejle_extract	2512	Magnesia """"DAK"""", Magnesia """"medic""""
A02AH_GA_1.0_g_g	A02AH	1	g	NA	NA	g	GA	gastrointestinal = peroral	Esbjerg	5	Natriumbikarbonat MEDIC
A02AH_GA_1500_mg_mg	A02AH	1500	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg	5	Natriumbikarbonat
A02AH_GA_1000_mg_mg	A02AH	1000	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Odense_extract, Vejle_extract	44	Natriumbikarbonat, Natriumbikarbonat MEDIC, Natriumbikarbonat SAD
A02AH_GA_500_mg_mg	A02AH	500	mg	NA	NA	mg	GA	gastrointestinal = peroral	Esbjerg, Kolding_extract, Odense_extract, Vejle_extract	58	Natriumbikarbonat MEDIC, Natriumbikarbonat SAD
A02BA02_IV_50_mg_mg	A02BA02	50	mg	NA	NA	mg	IV	intravenous	Esbjerg	8	Zantac
A02BA02_GA_150_mg_mg	A02BA02	150	mg	NA	NA	mg	GA	gastrointestinal = peroral	Odense_extract	13	Zantac
A02BA02_IV_2.5_mg_mg/kg	A02BA02	2.5	mg	1	ml	mg/kg	IV	intravenous	Odense_extract	14	Zantac
A02BA02_IV_2.5_mg_mg	A02BA02	2.5	mg	1	ml	mg	IV	intravenous	Odense_extract	20	Zantac
A02BA02_IV_50.0_mg_mg	A02BA02	50	mg	NA	NA	mg	IV	intravenous	Odense_extract	471	Zantac
A02BC01_GA_10.0_mg_mg	A02BC01	10	mg	NA	NA	mg	GA	gastrointestinal = peroral	Odense_extract	8	Losec
A02BC01_GA_40.0_mg_mg	A02BC01	40	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	8	Omeprazol """"AGP""""
A02BC01_IV_0.4_mg_mg/hour	A02BC01	0.4	mg	1	ml	mg/hour	IV	intravenous	Odense_extract	16	Losec
A02BC01_GA_40_mg_mg	A02BC01	40	mg	NA	NA	mg	GA	gastrointestinal = peroral	Esbjerg, Kolding_extract	19	Losec, Omeprazol """"Actavis"""", Omeprazol """"Biochemie"""", Omeprazol """"Stada"""", Omeprazol Biochemie
A02BC01_GA_20.0_mg_mg	A02BC01	20	mg	NA	NA	mg	GA	gastrointestinal = peroral	Odense_extract, Rigshospital_almen	21	Losec, Omeprazol """"Recept"""", Omeprazol """"Stada"""", Omestad
A02BC01_GA_20_mg_mg	A02BC01	20	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Odense_extract	49	Losec, Omeprazol """"Actavis"""", Omeprazol """"Aurobindo"""", Omeprazol """"Bluefish"""", Omeprazol """"BMM Pharma"""", Omeprazol """"Recept"""", Omeprazol """"Stada"""", Omeprazol Actavis, Omeprazol Bluefish, Omeprazol BMM Pharma
A02BC02_IV_1.0_mg_mg/hour	A02BC02	1	mg	1	ml	mg/hour	IV	intravenous	Vejle_extract	6	Pantoloc, Pantoprazol Sandoz
A02BC02_IV_4.0_mg_mg/hour	A02BC02	4	mg	1	ml	mg/hour	IV	intravenous	bispebjerg	6	Pantoloc, Pantoprazol """"Sandoz""""
A02BC02_GA_80.0_mg_mg	A02BC02	80	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	7	Pantoloc
A02BC02_IV_10.0_mg_mg	A02BC02	10	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	8	Pantoloc, Pantoprazol """"Actavis""""
A02BC02_IV_8.0_mg_mg/hour	A02BC02	8	mg	1	ml	mg/hour	IV	intravenous	Vejle_extract	9	Pantoloc, Pantoprazol """"Actavis""""
A02BC02_OR_40.0_mg_mg	A02BC02	40	mg	NA	NA	mg	OR	oral	herlev	10	Pantoprazol """"Actavis"""", Pantoprazol """"Nycomed""""
A02BC02_IV_0.24_mg_mg/hour	A02BC02	0.24	mg	1	ml	mg/hour	IV	intravenous	bispebjerg, hvidovre	19	Pantoloc, Pantoprazol """"Actavis"""", Pantoprazol """"Sandoz""""
A02BC02_GA_20.0_mg_mg	A02BC02	20	mg	NA	NA	mg	GA	gastrointestinal = peroral	hvidovre, Rigshospital_almen	42	Pantoloc, Pantoloc Nycomed Danmark, Pantoprazol """"Actavis"""", Pantoprazol """"Nycomed""""
A02BC02_IV_0.4_mg_mg/hour	A02BC02	0.4	mg	1	ml	mg/hour	IV	intravenous	hvidovre, Odense_extract, Svendborg_extract	44	Pantoloc, Pantoprazol """"Sandoz""""
A02BC02_IV_0.8_mg_mg/hour	A02BC02	0.8	mg	1	ml	mg/hour	IV	intravenous	Svendborg_extract, Vejle_extract	46	Pantoloc, Pantoprazol """"Actavis"""", Pantoprazol Sandoz
A02BC02_IV_80_mg_mg	A02BC02	80	mg	NA	NA	mg	IV	intravenous	Odense_extract, Svendborg_extract, Vejle_extract	66	Pantoloc
A02BC02_GA_20_mg_mg	A02BC02	20	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Odense_extract, Soenderborg_extract, Svendborg_extract	108	Pantoloc, Pantoloc Control, Pantoloc Nycomed Danmark, Pantoprazol """"Actavis"""", Pantoprazol """"Bluefish"""", Pantoprazol """"KRKA"""", Pantoprazol """"Nycomed"""", Pantoprazol """"Orifarm"""", Pantoprazol Nycomed, Pantoprazole """"Teva""""
A02BC02_IV_20_mg_mg	A02BC02	20	mg	NA	NA	mg	IV	intravenous	Kolding_extract, Odense_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	114	Pantoloc, Pantoprazol Actavis
A02BC02_IV_20.0_mg_mg	A02BC02	20	mg	NA	NA	mg	IV	intravenous	bispebjerg, herlev, hvidovre, Rigshospital_almen	172	Pantoloc, Pantoprazol """"Actavis"""", Pantoprazol """"Sandoz""""
A02BC02_GA_40.0_mg_mg	A02BC02	40	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, herlev, hvidovre, Rigshospital_almen	530	Pantoloc, Pantoloc Nycomed Danmark, Pantoprazol """"Actavis"""", Pantoprazol """"Nycomed"""", Pantoprazol """"TAKEDA"""", Pantoprazole """"Teva""""
